title, url, upvotes, lastModifiedtime, lastModifiedText, content
nts-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000037401_en_US?modified_at=2017-08-10+14%3A12%3A11+UTC,2,2017-08-10 14:12:11,Last Modified 254 days ago,"Problem Description
How do I report a Sale of Home in Intuit ProConnect Lacerte?

Report a Sale of Home Scenarios:
Click a scenario below to view instructions on how to enter: 

Report a Sale of Home with No Depreciation or Business Use




     Go to 
     Screen 17, Dispositions (Sch. D/4797/etc.).
     
Enter the Description of Property.
Enter the Date Acquired.

Enter the Date Sold.
Scroll down to the Schedule D section.
Enter the Sales Price.
Enter the Cost or Basis.
Enter any other expenses in, Expenses of Sale.
Scroll down to the Sale of Home section.
Check the box, Sale of Home (MANDATORY to compute exclusion).
Check the box, 2 Year Test Met.


Notes: 


Lacerte has input in Screen 22, Depreciation for Sale of Home with Business use. This is the best way to enter this type of transaction. Lacerte will then split the business use and non-business use automatically.
If there is a taxable gain, the amount will be reported on Schedule D (personal use portion) and Form 4797 (business use portion). Otherwise, the sale will not be reported on the respective schedules.

 
 
To force the sale on Schedule D/Form 4797 (even though not required by the IRS):
Client by Client

Got to Screen 17, Dispositions.
Scroll down to Sale of Home section.
Enter '2' in Report on Schedule D: 1 = When applicable, 2 = Force [O] (input sheet code 35).


Click Here to View Image




Global (All Clients)

Go to the Settings menu.
Select Options.
Click the Tax Return tab.
Under the Federal Tax Options section, switch the Sale of Home on Schedule D to 'Force'.


Click Here to View Image







Report a Sale of Home with a Reduced Exclusion




     Go to 
     Screen 17, Dispositions (Sch. D/4797/etc.).
     
Enter the Description of Property.
Enter the Date Acquired.
Enter the Date Sold.
Scroll down to the Schedule D.
Enter the Sales Price.
Enter the Cost or Basis.
Enter any other expenses in, Expenses of Sale.
Scroll down to the Sale of Home section.
Check the box, Sale of Home (MANDATORY to compute exclusion). 
    

Note- In order for Lacerte to calculate the reduced exclusion accurately the Sale due to change in health, employment or unforeseen circumstances box needs to be checked. For more information or examples in regards to unforeseen circumstances please refer to IRS publication 523.
 


     Enter the number of days the taxpayer used the property as a main home in 
     Days Used as Main Home and the number of days the taxpayer owned the property in 
     Days Property Owned under the 
     Reduced Exclusion subsection.
     


 


   * 
   Note: If the date placed in service is different from date purchased. The date purchased needs to be input in the date placed in service location to calculate the reduced exclusion.
  
Exclusion Overrides:


Exclusion (-1 to recognize full gain) [O] - federal input sheet code 147

Exclusion (-1 to recognize full gain) [O] - state if different input sheet code 442

Beginning in Tax Year 2009, additional input may be required:
Number of Non-qualified use days after December 31, 2008,
Enter the number of days after December 31, 2008 that this home was used for non-qualified purposes. The Housing Assistance Tax Act of 2008 included a provision that disallows the Section 121 exclusion for periods of unqualified use. Non-qualified use is generally any period after December 31, 2008 during which the home was not used as a principal residence of the taxpayer or spouse. This would include time that the home was used as a rental property or used as a vacation home. The ratio of non-qualified use to the period of ownership is multiplied by the gain of the sale that is otherwise eligible for the exclusion (so the gain less any post-May 6, 1997 depreciation) to determine the amount of gain allocated to non-qualified use. This portion of gain allocated to non-qualified use is not eligible for the Section 121 exclusion. For additional information, refer to IRS Publication 523 and the Sale of Home - Gain (or Loss), Exclusion, and Taxable Gain Worksheet.



Report a Sale of Home with Personal and Business Use 

The sale will have to be entered as two transactions on Screen 17, Disposition. Note: Newly issued IRS regulations indicate that if the residential and non-residential portion are within the same dwelling unit and no depreciation is claimed, the allocation spelled out below is not required. (e.g., an office in the home). See Re g. 1.121-1(e)(1).  Enter this as a normal sale of home.
Step #1: To Report the Personal Portion:



     Go to 
     Screen 17, Dispositions (Sch. D/4797/etc.).
     
Enter the Description of Property.
Enter the Date Acquired.
Enter the Date Sold.
Scroll down to the Schedule D section.
Enter the Sales Price.
Enter the Cost or Basis.
Enter any other expenses in, Expenses of Sale.
Scroll down to the Sale of Home section.
Check the box, Sale of Home (MANDATORY to compute exclusion).
Enter the allocated exclusion in, Exclusion (-1 if electing to pay tax on full gain) [O].



Step #2
:
To Report the Business Portion:

Click on Add from the left navigation panel.
Enter the Description of Property.
Enter the Date Acquired.
Enter the Date Sold.
Scroll down to the Schedule D section.
Enter the Sales Price.
Enter the Cost or Basis.
Enter any other expenses in, Expenses of Sale.
Scroll down to the Form 4797 section.
Enter the accumulated depreciation in, Depreciation allowed (-1 if none, triggers 4797).
Scroll down to the Sale of Home section.
Check the box, Business use in year of sale.
Enter any post 5/6/97 depreciation in, Depreciation allowed after May 6,1997 [Override for homes placed in service after May 6,1997].
Enter the allocated exclusion in, Exclusion (-1 if electing to pay tax on full gain) [O].

Note: If there is a taxable gain, the amount will be reported on Schedule D (personal use portion) and Form 4797 (business use portion). Otherwise, the sale will not be reported on the respective schedules.
 
To force the sale on Schedule D/Form 4797 (even though not required by the IRS):
Client by Client

Got to Screen 17, Dispositions.
Scroll down to Sale of Home section.
Enter '2' in Report on Schedule D: 1 = When applicable, 2 = Force [O] (input sheet code 35).


Click Here to View Image




Global (All Clients)

Go to the Settings menu.
Select Options.
Click the Tax Return tab.
Under the Federal Tax Options section, switch the Sale of Home on Schedule D to 'Force'.


Click Here to View Image







Report a Sale of Home when 100% of Home is Now Used for Business/Rental, but Previously Used for Personal Purposes


Go to Screen 17, Dispositions (Sch. D/4797/etc.).

Enter the Description of Property.
Enter the Date Acquired.
Enter the Date Sold.
Scroll down to the Schedule D section.
Enter the Sales Price.
Enter the Cost or Basis.
Enter any other expenses in, Expenses of Sale.
Scroll down to the Form 4797 section.
Enter the accumulated depreciation in, Depreciation allowed (-1 if none, triggers 4797).
Scroll down to the Sale of Home section.
Check the box, Sale of Home (MANDATORY to compute exclusion).
Check the box, 2 year use test met (full exclusion).
Check the box, Business use in year of sale.

Enter the Number of non-qualified use days after December 31, 2008 (Click here for details).  Note: If the reduced exclusion applies do not check the box but instead enter the following:   
    
If applicable, select the Sale Due to Change in Health, Employment, or Unforeseen Circumstances check box.
If applicable, enter a date in MD format in If excluded gain from another home within 2 years of current sale, enter date (am/d/ay).
In the Reduced Exclusion section, enter the number of days the taxpayer used the property as a main home in Days Used as Main Home and the number of days the taxpayer owned the property in Days Property Owned.   
 
Enter any post 5/6/97 depreciation in, Depreciation allowed after May 6,1997 [Override for homes placed in service after May 6,1997].  Note: The transaction prints on Form 4797 only if there is taxable gain.  
To report the sale of the home on Form 4797 (even though not required by the IRS), enter a 2 in, Report on Schedule D: 1 = When applicable, 2 = Force [O].


First-time home buyer credit previously taken on this home (Ctrl+T):
Note: In most instances Home #1 should be selected. Home #2 should ONLY be selected when for instances where a second Form 5405 is needed ? such as when both the taxpayer and spouse claimed the credit in a year prior to being married.
For homes purchased in 2008, if the home ceases to be the taxpayer?s main home before the 15-year repayment period is expired, then all remaining annual installments must be included as additional tax. If the home is sold to someone who is not related to the taxpayer, this repayment amount is limited to the amount of gain on the sale.
For homes purchased in 2009, the credit must be repaid only if the home ceases to be the taxpayer?s main home within the 36-month period beginning on the purchase date. When the repayment applies, if the home is sold to someone who is not related to the taxpayer, the repayment amount is limited to the amount of gain on the sale.
Note: When computing the amount of credit to repay, the basis of the home must be adjusted by the amount of credit that has not been repaid. The program will automatically adjust the basis in the computation of the gain for purposes of limiting the credit recapture ? based on the gain (loss) of this sale coupled with the prior year credit entered on Screen 38.2, EIC, Residential Energy, Other Credit (Screen 39 in 2013 and prior years). If the home was destroyed, condemned, or meets another exception, refer to the input fields in the First-Time Home buyer Credit (5405) section of Screen 38.2.
Number of non-qualified use days after December 31, 2008:
Enter the number of days after December 31, 2008 that this home was used for non-qualified purposes. The Housing Assistance Tax Act of 2008 included a provision that disallows the Section 121 exclusion for periods of unqualified use. Non-qualified use is generally any period after December 31, 2008 during which the home was not used as a principal residence of the taxpayer or spouse. This would include time that the home was used as a rental property or used as a vacation home. The ratio of non-qualified use to the period of ownership is multiplied by the gain of the sale that is otherwise eligible for the exclusion (so the gain less any post-May 6, 1997 depreciation) to determine the amount of gain allocated to non-qualified use. This portion of gain allocated to non-qualified use is not eligible for the Section 121 exclusion. For additional information, refer to IRS Publication 523 and the Sale of Home - Gain (or Loss), Exclusion, and Taxable Gain Worksheet. 



Report a Sale of Home with Prior Business Use in Screen 17, Dispositions

  When the home is used 100% for personal purposes at the time of sale, but had prior business/rental use, follow the steps below to record the sale of home: 
  
Go to Screen 17, Dispositions (Sch. D/4797/etc.).

Enter the Description of Property.
Enter the Date Acquired.
Enter the Date Sold.
Scroll down to the Schedule D section.
Enter the Sales Price.
Enter the Cost or Basis.
Enter any other expenses in, Expenses of Sale.
Scroll down to the Form 4797 section.
Enter the accumulated depreciation in, Depreciation allowed (-1 if none, triggers 4797).
Scroll down to the Sale of Home section.
Check the box, Sale of Home (MANDATORY to compute exclusion).
Check the box, 2 Year Test Met (to calculate the full exclusion). If the exclusion should be reduced, fill out the applicable information in the Reduced Exclusion subsection.
Enter any post 5/6/97 depreciation in, Depreciation allowed after May 6,1997 [Override for homes placed in service after May 6,1997].




Report a Short Sale of Home Setup as a Depreciable Asset in Screen 22, Depreciation


Go to Screen 22, Depreciation.
Select the Asset from the left navigation panel.
Scroll down to the General Disposition Information section.
Enter the appropriate date in, Date sold, disposed, or retired (MANDATORY).

Complete all other information under the General Disposition Information section.
Scroll down to the Sale of Asset (4797/6252) section.
Enter the Sales price (-1=none).

Complete all other information under the Sale of Asset (4797/6252) section.
Scroll down to the Sale of Home section.
Check the box, Sale of home (MANDATORY to compute exclusion).

Check the box, 2-year use test met (full exclusion) (if applicable).
Complete all other information under the Sale of Home section.

If income is required to be reported that is associated with the short sale of home or cancellation of debt: 
  
Go to Screen 14.1, SS Benefits, Alimony, Miscellaneous Inc. 

Scroll down to the Alimony and Other Income section.
Enter the Cancellation of debt.
Enter the Qualified principal residence exclusion (If applicable).



 
  GEN48060"
"Partnership K-1, Line 11",https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000024255_en_US?modified_at=2018-04-21+21%3A38%3A09+UTC,0,2018-04-21 22:22:58,Last Modified 254 days ago,"Enter the items from Line 11, Other Income (Loss) in the applicable fields below. For those K-1 codes without direct input in the K-1 screen:

Code A - Other portfolio income (loss)

The partnership will report portfolio income other than interest, ordinary dividend, royalty, and capital gain (loss) income. It will attach a statement to tell you what kind of portfolio income is reported.
If the partnership has a residual interest in a real estate mortgage investment conduit (REMIC), it will report on the statement your share of REMIC taxable income (net loss) that you report on Schedule E (Form 1040), line 38, column (d). The statement will also report your share of any ''excess inclusion'' that you report on Schedule E, line 38, column (c), and your share of section 212 expenses that you report on Schedule E, line 38, column (e). Enter these amounts in the REMIC information section of Screen 20, Passthrough K-1?s. If you itemize your deductions on Schedule A (Form 1040), you may also deduct these section 212 expenses as a miscellaneous deduction subject to the 2% limit on Schedule A. Enter these amounts in Screen 25, Itemized Deductions.
 

Code B - Involuntary Conversion

This is your net gain (loss) from involuntary conversions due to casualty or theft. The partnership will give you a schedule that shows the amounts to be entered on Form 4684, Casualties and Thefts, line 40, columns (b)(i), (b)(ii), and (c). If there was a gain (loss) from a casualty or theft to property not used in a trade or business or for income-producing purposes, the partnership will provide you with the information you need to complete Form 4684 using Screen 17, Dispositions.
 

Code D - Mining exploration costs recapture

The partnership will give you a schedule that shows the information needed to recapture certain mining exploration costs (section 617). For more information see Pub. 535.
 

Code E - Cancellation of debt

Generally, this amount is included in your gross income (Form 1040, line 21). Under section 108(b)(5), you may elect to apply any portion of this cancellation of debt to the reduction of the basis of depreciable property. See Form 982 for more details. IRS revenue ruling 92-92 discusses allocating a portion of the COD income to passive activities. You can access this revenue ruling on the web site http://www.taxalmanac.org. When you open the web site, enter ''revenue ruling 92-92'' as a search parameter. If you determine a portion of the cancellation of debt income should be considered passive income, then it should be entered in the input field ''First Passive Item - Other'' (Screen 20.1, code 35) located within the ''Separately State Income and Deductions'' section of the input screen.
 

Code F - Other income (loss)

See the Partner's Instructions.  Lacerte does not provide a field for this item.  This item should be entered in relation to the description given by the Schedule K-1 preparer. 

Click here to access the K-1 Step-by-Step Guide
 INF29159"
Entering Amounts from a Form 1099-MISC in the Individual Module,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000033696_en_US?modified_at=2017-08-10+14%3A44%3A02+UTC,0,2017-08-10 14:44:02,Last Modified 254 days ago,"Where should the income from a 1099-MISC be entered?


1099-MISC, Rents (box 1) or Royalties (box 2):




   See the Instructions for Schedule E
   


   See 
   Entering Rental and Royalty Income for an Individual Return (Schedule E)
 



1099-MISC, Other income (box 3):


Go to Screen 14.1, SS Benefits, Alimony, Miscellaneous Inc.
Scroll down to the Alimony and Other Income section.
Enter the amount in Other income (Ctrl+E) (code 11 (Taxpayer) code 61 (Spouse)).

The amount will flow to Form 1040, line 21. See Form 1040, Line 21- Other Income for more information.


1099-MISC, Federal Income Tax Withheld (box 4):


Go to Screen 14.1, SS Benefits, Alimony, Miscellaneous Inc.
Scroll down to the Tax Withheld section.
Enter the amount in, Federal income tax withheld (code 14 (Taxpayer) code 64 (Spouse)).  


1099-MISC, Medical and Health Care Payments (box 6):




   Medical/health payments in Box 6 is typically for institutions (like insurance companies) to report payments to medical facilities. Payments of $600 or more made in the course of trade or business to each physician or other supplier or provider of medical or health care services will be reported in box 6. This will include payments made by medical and health care insurers under health, accident, and sickness insurance programs.  If payment is made to a corporation, the corporation will be listed as the recipient rather than the individual providing the services. Payments to persons providing health care services often include charges for injections, drugs, dentures, and similar items.  In these cases the entire payment is subject to information reporting.  Payments to pharmacies for prescription drugs are not required to be reported in box 6. 
   


   The exemption from issuing Form 1099-MISC to a corporation does not apply to payments for medical or health care services provided by corporations, including professional corporations.  However payments made to tax-exempt hospitals or extended care facilities or to a hospital or extended care facility owned and operated by the United States (or its possessions), a state, the District of Columbia, or any of their political subdivisions, agencies, or instrumentalities is not required to be reported on 1099-MISC.
   


   Generally, payments made under a flexible spending arrangement (as defined in section 106(c)(2)) or a health reimbursement arrangement which is treated as employer-provided coverage under an accident or health plan for purposes of section 106 are exempt from the reporting requirements of section 6041.
     
   


1099-MISC, Non employee compensation (box 7):




   Schedule C, C-EZ, or F. But if you were not self-employed, see the instructions on Form 1099-MISC.
   


   For Schedule C or C-EZ, use 
   Screen 16, Business Income;
 


   For Schedule F, use 
   Screen 19, Farm Income (Sch F/4835);
 


   If not self employed, use 
   Screen 14.1,
Miscellaneous Income, 
   Wages received with no SS withheld (8919)(Ctrl+E).  According to the Form 1040 instructions, do not report nonemployee compensation on Form 1099-MISC on Line 21, Other Income, of Form 1040.  The amount entered is included on the wage income line of Form 1040, and used to complete Form 8919 ""Uncollected Social Security and Medicare Tax on Wages"". The resulting social security and Medicare tax are included in the Other Taxes section of Form 1040, page 2.
   



1099-MISC, Substitute payments in lieu of dividends or interest (box 8):

Per the IRS instructions,""Box 8. Shows substitute payments in lieu of dividends or tax-exempt interest received by your broker on your behalf as a result of a loan of your securities. Report on the ?Other income? line of Form 1040.

In Screen 14.1, Miscellaneous Income, click the SS Bene., Misc. Inc. link in the left navigation panel.
Scroll down to the Alimony and Other Income section.
Enter the amount in amount in Other income (Ctrl+E) field (input sheet code 11). 
  

Note: A description can be entered to print on Form 1040, line 21.
 






1099-MISC, Payer made direct sales of $5,000 or more of consumer products to a buyer (recipient) for resale (box 9):


This number is a reporting number for IRS purposes it does not report on the return. Form 1099-MISC Instructions, 






 In addition, use Form 1099-MISC to report that you made direct sales of at least $5,000 of consumer products to a buyer for resale anywhere other than a permanent retail establishment. You must also file Form 1099-MISC for each person from whom you have withheld any federal income tax under the backup withholding rules regardless of the amount of the payment. Be sure to report each payment in the proper box because the IRS uses this information to determine whether the recipient has properly reported the payment. 






  


1099-MISC, Excess golden parachute payments (box 13):




   See the instructions for Form 1040, line 61, on page 45
   


Use Screen 45.3, Schedule J, Recapture, Other Taxes; Excess Golden Parachute Payments from Form 1099-MISC. (code 91)
 


  


1099-MISC, Gross Proceeds paid to an attorney (box 14)


According to the 1099-MISC instructions, Shows gross proceeds paid to an attorney in connection with legal services. Report only the taxable part as income on your return.
The program does not have a specific entry for this item. 


  


1099-MISC, Section 409A income (box 15b)


Per Form 1099-MISC form instructions, ""Box 15b. Shows income as a non-employee under a non-qualified deferred compensation plan (NQDC) that does not meet the requirements of section 409A. This amount is also included in box 7 as non-employee compensation. Any amount included in box 15a that is currently taxable is also included in this box. This income is also subject to a substantial additional tax to be reported on Form 1040. See ""Total Tax"" in the Form 1040 instructions.""


   Enter the amount from the 1099-MISC, box 7, on the 
   Miscellaneous Income screen (Screen 14.1) in the 
   Other Income (Ctrl+E) field (code 11). The income from the amount in box 15b is included in box 7. However,the additional tax must be calculated and entered on the 
   Schedule J, Recapture, Other Taxes screen (Screen 45.3), in the 
   Other Taxes section under the heading 
   Section 409A Tax (codes 85, 89).
   


   Lacerte will calculate the additional tax if the NQDC income was entered on the 
   Wages screen (box 12, Code Z). Since the income was reported on a 1099-MISC, the additional tax must be calculated manually by the preparer.
   


  


1099-MISC, State tax withheld (box 16)


Go to Screen 14.1, Miscellaneous Income

Scroll down to the Tax Withheld section
Enter the amount in, State income tax withheld (code 15). If appropriate, specify the state that withheld the tax.  *Note- If the state withholding is for AZ, CO, CT, DC, GA, HI, IA, IL,  IN, KY, MA, ME, MT, ND, NE, NM, NY, OH, OK, PA, SC, VA, WI, or WV, an entry in this field will generate diagnostic (ref. #34522). See Individual E-file Diagnostic Form 1099-MISC is Required for States with Withholding (Ref. #34522) to resolve this diagnostic.


  


To enter 1099-MISC, Other (boxes 5 & 10)




   See the instructions for 
   Form 1099-MISC.
     
   


  
 GEN67593"
Entering Form 1095-A,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000023487_en_US?modified_at=2017-08-10+14%3A44%3A05+UTC,0,2017-08-10 14:44:05,Last Modified 254 days ago,"Where do I enter information from Form 1095-A?
How do I report Form 1095-A?
To view a 1095-A with sample input, visit https://www.irs.gov/pub/irs-pdf/f1095a.pdf.    

Solution:
New for Lacerte!  ACA Interactive - An Affordable Care Act interview guide for Lacerte tax professionals 
Form 1095-A is used to report certain information to the IRS about family members who enroll in a qualified health plan through the Marketplace. Form 1095-A also is furnished to individuals to allow them to claim the premium tax credit, to reconcile the credit on their returns with advance payments of the premium tax credit (advance credit payments), and to file an accurate tax return.
 
To enter/report Form 1095-A:

Go to Screen 39, Affordable Care Act Subsidy/Penalty.
Click on Health Insurance Marketplace Statement (Form 1095-A) from the left navigation panel. (This will take you to Screen 39.2.)    
Complete the Recipient Information (Part I) section:  
  
Check the box, Spouse is recipient (if applicable).
Enter the (2) Market-place assigned policy number.   *Note- Enter the last 15 characters of the policy number. The policy number can be digits, alpha letters, and some special characters. (Example- If the policy number is 12345678901234A:123456, enter 8901234A:123456 in Lacerte.)   
 
Scroll down to Coverage Household (Part II) section.
Select the First Name of the individual from the drop down menu.  Important! If you Select the Covered Individuals name from the drop down menu, Lacerte will populate the First Name, Last Name, and SSN entered on Screen 1, Client Information or Screen 2, Dependents. If the Covered Individual is not entered on Screen 1 or Screen 2 you will need to manually enter their information.     
Enter the Start Date.
Enter the Termination Date. (If applicable)
Scroll down to the Household Information (Part III) section.
Complete the Monthly Premium, Monthly Premium of Second Lowest Cost Silver Plan (SLCSP), and/or Monthly Advance Payment of Premium Tax Credit columns based on the information from Form 1095-A.  Monthly Premium. This column is the monthly premium amount for the policy in which you enrolled. (Amounts entered in lines 21-32 will flow to Form 8962, lines 12-23, column A. An amount entered in line 33 will flow to Form 8962, line 11, column A.)  SLCSP. This column is the monthly premium amount for the second lowest cost silver plan (SLCSP) that the Marketplace has determined applies to members of your family enrolled in the coverage. The premium for the applicable SLCSP is used to compute your monthly advance credit payments and the premium tax credit you claim on your return. If no information is entered in this column, see the Instructions for Form 8962, Part 2, Premium Tax Credit Claim and Reconciliation of Advance Payment of Premium Tax Credit. (Amounts entered in lines 21-32 will flow to Form 8962, lines 12-23, column B. An amount entered in line 33 will flow to Form 8962, line 11, column B.)  Monthly Advance Payment of Premium Tax Credit. This column is the monthly amount of advance credit payments that were made to your insurance company to pay for all or part of the premiums for your coverage. No information will be entered in this column if no advance credit payments were made. (Amounts entered in lines 21-32 will flow to Form 8962, lines 12-23, column C. An amount entered in line 33 will flow to Form 8962, line 11, column C.)  
Click on Add from the left navigation panel to add an additional Form 1095-A (if the Taxpayer received multiple 1095-As).


Frequently Asked Questions
Q1:  A client indicates they had Marketplace Coverage and haven't yet received their 1095-A.  Should they wait to file until they receive the form?
A1: Yes,  IRS guidance is to wait until the form is received to file a return.  
Q2:  Do clients that will receive a 1095-B or 1095-C also have to wait?
A2:  No, clients with non-Marketplace coverage will receive a 1095-B or C but that is for informational purposes only and is not required to be received prior to filing the return.  1095-A recipients on the other hand, neet to wait to receive their statement before filing. See IRS guidance link above. 
Q3:  If I have annual totals on the 1095-A, do I have to enter the monthly amounts as well?
A3:  No, if you have annual totals you can enter that in the Coverage Information (Part III) section for line 33. 

Q4:  Who receives a 1095-A?

A4:  The Form 1095-A instructions indicate who is sent the form on behalf of themselves or a household.  Form 1095-A is used for Marketplace coverage obtained through Federal or State exchanges.  
  INF27050"
Lacerte Critical Diagnostics Frequently Asked Questions,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000024718_en_US?modified_at=2017-08-10+14%3A44%3A07+UTC,2,2017-08-10 14:44:07,Last Modified 254 days ago,"Description
Diagnostics are provided to assist with return preparation and checking prior to transmitting an electronic return.
New for TY16 - Convenient access to Forms status under the Diagnostics tab.  Click here to access Forms Status Notification Tool.

There are three categories of return diagnostics: Fatal, Critical and Informational

Critical Diagnostics are generated when input is missing or present that will cause a return to be rejected or filed incorrectly. 
Critical diagnostics that have to do with an electronically filed return will have ""e-file"" in front of them.  These diagnostics will prevent a return from being electronically filed until they are either cleared or bypassed.

Caution: Critical diagnostics should not be bypassed using the Disable e-file Error Checking function unless instructed to do so.

Critical diagnostics are also generated for issues that will impact the paper filing of a return and when a form is in draft state or instructions are not final. 
Whenever additional information is available, it is included in a link to a KB article, indicated by a ""More Info"" icon next to the diagnostic.
Checkboxes are located next to the diagnostic messages. When the diagnostic has been reviewed, you have the option of checking the box, which will strikethrough the diagnostic.  Checking the box does not resolve a diagnostic, it merely indicates the diagnostic has been reviewed.
  INF30071"
Schedule A Itemized Deductions- Interest FAQs,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000023930_en_US?modified_at=2017-08-10+14%3A44%3A08+UTC,0,2017-08-10 14:44:08,Last Modified 254 days ago,"Description
The following articles are the top questions referring to Itemized Deductions- Interest Schedule A.

Entering Home Mortgage Interest and Other Information from Form 1098


Amortization of Mortgage Points for Schedule A, Itemized Deductions


Schedule A Itemized Deductions: Qualified Mortgage Insurance Premiums



Related FAQs


Where can I enter nominee interest paid that was not reported on a 1098


MFJ / MFS Worksheet Home Office Itemized Deduction Splits Fully to Either Taxpayer or Spouse


Entering Form 1099-INT, Interest Income in the Individual Module


Generating Individual Schedule A, Itemized Deductions

 
 
  INF28645"
E-file Reject Troubleshooting and Tips,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000024244_en_US?modified_at=2017-08-10+14%3A44%3A09+UTC,1,2017-08-10 14:44:09,Last Modified 254 days ago,"Description
The following steps will assist in reviewing and resolving most electronic filing rejects.

Information

Under the Diagnostics tab, please make sure that no e-File Critical Diagnostics exist 
  
 A critical diagnostic is one that will cause a return to be rejected.  The Lacerte program generates these critical diagnostics for this purpose.
 
Review the reject solution message provided with the e-file reject. 
  
The solution provides the steps which can be taken to resolve and then retransmit a return.  
 
For some e-file rejects that refer to a filing Identifier such as a Social Security Number or Tax Identification number,  please refer to the Reject Value field in the reject message.   
  
The Reject Value is provided by the tax agency and identifies the filing ID which cause the reject.
 

1-21-2016 TY15 IND US EF Reject F1040-371-0 - We are working with the IRS to understand why this reject code is being generated and expect to hear from the IRS, January 29th. We will update this with more information and steps to take as it is received. 
Update 1-21-2016 IND US EF Reject F1040-371-0 -  The IRS has communicated that they will make a correction to this business rule on January 24th and to have preparers retransmit erroneously rejected returns January 25th. No program update is required.  INF29084"
Foreign Wages Not Excluded For Individual Form 1040,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000036882_en_US?modified_at=2017-08-10+05%3A15%3A00+UTC,0,2017-08-10 05:15:00,Last Modified 254 days ago,"How do I enter foreign wages not excluded from income on Individual Form 1040?

Solution Description


Solution One: To report foreign wages not excluded from income on Form 1040:


Go to Screen 10, Wages, Salaries, Tips.
Enter the necessary information about the employer under the Employer Information section.
Enter the appropriate wage information under the Wages section.
Scroll down to the Electronic Filing (W-2) section.
Locate the Foreign Employer Compensation subsection.
Check the box, Compensation not reported on W-2.   Note- Checking the box will indicate the compensation reported is from a non-US employer who did not issue a Form W-2. When the box is marked, the e-file program creates Form FEC (Foreign Employer Compensation) records in the e-file. Form FEC, along Form W-2, supports compensation amounts reported on Line 7 of Form 1040 and 1040A, and Line 1, of Form 1040EZ.   
  
Check the box, Employee performed services while residing in US if the taxpayer resided in the U.S. while earning the compensation being reported on the FEC. Do not enter a post of duty code.  or,  
Select the Country code if work not performed while residing in US from the drop down menu.  
 
Enter the Foreign employer's tax identification number (if applicable).


 Wages will show on Line 7 of the Form 1040. 



Solution Two: To report the associated taxes paid with foreign wages:


Go to Screen 35, Foreign Tax Credit (1116).
Locate the Income From Sources Outside U.S. section.
Select the Name of foreign country from the drop down menu.
Select the Category of income (Ctrl+T) from the drop down menu.
Scroll down to the Gross Income Within Country section.
Locate the Other Foreign Source Income subsection.
Hold down Ctrl+E in, Income (Ctrl+E).
Enter the Description.
Enter the Amount.
Click OK.
Scroll down to the Foreign Taxes Paid or Accrued section.
Locate the U.S. Dollars subsection.
Enter the amount in, Other foreign taxes. 

Form 1116 will generate showing the calculation for the foreign tax credit. The calculated credit will flow Form 1040. GEN75897"
Entering Third Party Sick Pay Reported on a W-2,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000040673_en_US?modified_at=2017-08-10+05%3A15%3A01+UTC,1,2017-08-10 05:15:01,Last Modified 254 days ago,"How do I enter Third Party Sick Pay from a W-2?

Solution Description

 Third Party Sick Pay can be either taxable or non-taxable.


  



Solution #1- To enter Third Party Sick Pay as taxable:


Go to Screen 10, Wages, Salaries, and Tips.
Enter the amounts as reported from the W-2.
Scroll down to the Wages section.
Locate the Box 13 subsection.
Check the box, Third Party Sick Pay.    



Solution #2- To enter Third Party Sick Pay as Nontaxable:


Go to Screen 10, Wages, Salaries, and Tips.
Enter the amounts reported on the W-2. (If an amount is entered in box 1, a negative entry of the same amount must be entered to reduce the taxable amount to zero.)    
Scroll down to the Wages section.
Locate the Box 13 subsection.
Check the box, Third Party Sick Pay.  



        


Note:  This check box is necessary for E-file returns and will not exclude the actual amount from 1040 line 7. A negative adjustment entry is required for income not to flow to 1040 line 7.
 GEN58095"
"Using the ""State wages If Different"" Field on Screen 10 When Entering Multi-State W-2's",https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000027708_en_US?modified_at=2017-08-10+05%3A15%3A03+UTC,0,2017-08-10 05:15:03,Last Modified 254 days ago,"When should the ""State wages, if different"" field on Screen 10, Wages, Salaries, Tips, be used when entering multi-state W2's?

Solution Description
You would only use (16) State wages, if different if the amount of wages for the resident state is more or less than the federal amount. Example: The home state does not recognize pretax deductions to taxable wages, so the state taxable wages will be greater than the federal wages that do recognize pretax deductions. An entry in this field will typically cause an adjustment on the State return. 
See Allocating W-2 Wages and Withholdings for Multi-State Return on how to allocate wages to multiple states.
Other Related Article:

Entering Full Year NJ Resident Wages that are Greater than Federal in the Individual Module
 GEN77428"
